
2025/02/13 (15:55:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:55:01) | ===> btop++ v.1.4.0
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:55:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:11:42) | ===> btop++ v.1.4.0
2025/02/13 (16:11:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:11:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:11:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:11:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:11:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:11:46) | ===> btop++ v.1.4.0
2025/02/13 (16:11:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:11:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:11:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:11:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:11:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:11:51) | ===> btop++ v.1.4.0
2025/02/13 (16:11:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:11:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:11:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:11:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:11:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:32:09) | ===> btop++ v.1.4.0
2025/02/13 (16:32:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:32:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:32:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:32:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:32:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:34:25) | ===> btop++ v.1.4.0
2025/02/13 (16:34:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:34:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:34:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:34:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:34:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:34:31) | ===> btop++ v.1.4.0
2025/02/13 (16:34:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:34:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:34:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:34:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:34:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:34:35) | ===> btop++ v.1.4.0
2025/02/13 (16:34:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:34:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:34:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:34:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:34:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:34:37) | ===> btop++ v.1.4.0
2025/02/13 (16:34:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:34:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:34:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:34:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:34:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (16:55:41) | ===> btop++ v.1.4.0
2025/02/13 (16:55:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (16:55:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (16:55:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (16:55:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (16:55:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (18:49:05) | ===> btop++ v.1.4.0
2025/02/13 (18:49:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (18:49:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (18:49:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (18:49:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (18:49:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (20:26:11) | ===> btop++ v.1.4.0
2025/02/13 (20:26:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (20:26:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (20:26:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (20:26:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (20:26:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (20:26:12) | ===> btop++ v.1.4.0
2025/02/13 (20:26:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (20:26:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (20:26:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (20:26:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (20:26:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (20:26:13) | ===> btop++ v.1.4.0
2025/02/13 (20:26:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (20:26:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (20:26:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (20:26:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (20:26:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (20:26:14) | ===> btop++ v.1.4.0
2025/02/13 (20:26:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (20:26:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (20:26:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (20:26:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (20:26:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (07:28:25) | ===> btop++ v.1.4.0
2025/02/14 (07:28:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (07:28:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (07:28:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (07:28:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (07:28:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (07:31:33) | ===> btop++ v.1.4.0
2025/02/14 (07:31:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (07:31:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (07:31:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (07:31:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (07:31:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (10:48:18) | ===> btop++ v.1.4.0
2025/02/14 (10:48:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (10:48:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (10:48:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (10:48:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (10:48:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (11:18:27) | ===> btop++ v.1.4.0
2025/02/14 (11:18:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (11:18:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (11:18:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (11:18:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (11:18:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (11:27:20) | ===> btop++ v.1.4.0
2025/02/14 (11:27:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (11:27:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (11:27:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (11:27:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (11:27:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (11:43:46) | ===> btop++ v.1.4.0
2025/02/14 (11:43:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (11:43:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (11:43:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (11:43:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (11:43:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

